Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,273,12,P:System.Windows.Controls.Panel.Children,,,,,cardError.Children.Add(button);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,273,12,M:System.Windows.Controls.UIElementCollection.Add(System.Windows.UIElement),,,,,cardError.Children.Add(button);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,272,12,P:System.Windows.Controls.ContentControl.Content,,,,,var button = new Button { Content = textBlock };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,272,12,T:System.Windows.Controls.Button,,,,,var button = new Button { Content = textBlock };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,272,12,M:System.Windows.Controls.Button.#ctor,,,,,var button = new Button { Content = textBlock };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.ResourceDictionary,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,P:System.Windows.FrameworkElement.Resources,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,P:System.Windows.ResourceDictionary.Item(System.Object),,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,T:System.Windows.Style,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,266,12,P:System.Windows.FrameworkElement.Style,,,,,"var textBlock = new TextBlock              {                  Text = ""WARNING: "" + message,                  TextWrapping = TextWrapping.Wrap,                  Style = Resources[""Warning""] as Style              };"
